,Annualized Return,Annualized Volatility,Max Drawdown
Growth,0.11707781191356226,0.07654317317791587,-5.230700495975179
Large,0.10922266073618148,0.07832947666508285,-5.982745149550704
Momentum,0.21498378756736147,0.10018626591135729,-6.580208518103774
Quality,0.1177113139375554,0.07520197357997056,-4.45195287670571
Small,0.1695829217463567,0.1345417790021413,-18.698040939856515
Value,0.11753122479673683,0.09362854404263632,-11.513776454406829
Market,0.11793167685401107,0.08305627870046037,-7.737037418351118
LowVol,0.1400384620089128,0.07416424438330806,-9.693548227415716
