,Annualized Return,Annualized Volatility,Max Drawdown
Growth,0.14830336784723142,0.15384230396742807,-16.92168841624077
Large,0.06832609446138282,0.18848856225758517,-21.389757228495572
Momentum,0.14554310339082477,0.13985421843211324,-15.366394034531398
Quality,0.13876207636877047,0.15902513667258789,-16.53179004541414
Small,0.11940699139162736,0.2485154975382418,-27.739190655354275
Value,-0.0010836430220317883,0.24459063907086026,-27.917405936432555
Market,0.07590365261445431,0.1919446600640082,-22.061849845442772
LowVol,0.058029164649844756,0.14834166718122527,-17.558278918748904
