,Annualized Return,Annualized Volatility,Max Drawdown
Growth,0.06550243603703709,0.12453213338970726,-17.918604609587984
Large,0.02540862956314749,0.13595562402015748,-20.546569399811077
Momentum,0.11155314308923936,0.13104495753830833,-15.86060792448635
Quality,0.07131390351711375,0.09778614263050439,-11.826991529333323
Small,0.08314059836865062,0.16310888849966834,-23.65039924998843
Value,-0.008297185674916885,0.15986865393525482,-24.3271392745114
Market,0.029419324888292575,0.13649619812556588,-20.985192715248157
LowVol,0.051480717268722165,0.08759141318553207,-10.202333704396427
