Date;Mkt-RF;SMB;HML;RMW;CMA;RF
01/31/06;0.0638;0.0234;0.0174;-0.0066;-0.0218;0.0035
02/28/06;0.0055;0.0215;0.0145;-0.013;-0.0104;0.0034
03/31/06;0.0399;0.008;0.0171;-0.0119;0.0023;0.0037
04/28/06;0.0525;0.0201;-0.0032;0.0107;0.0016;0.0036
05/31/06;-0.0364;-0.0096;-0.0055;0.0102;0.0104;0.0043
06/30/06;-0.0021;-0.0175;-0.0051;0.0032;-0.0071;0.004
07/31/06;0.0101;-0.0172;0.0161;-0.0042;0.0014;0.004
08/31/06;0.027;-0.002;0.0039;-0.0017;-0.0038;0.0042
09/29/06;0.0069;0.0005;0.0032;-0.0055;0.0075;0.0041
10/31/06;0.0382;0.0022;0.015;0.0054;-0.0049;0.0041
11/30/06;0.0376;0.0244;0.0034;0.0017;0.0022;0.0042
12/29/06;0.0332;0.0096;0.0055;-0.0005;-0.0058;0.004
01/31/07;0.0061;0.0199;0.0077;-0.0065;0.0058;0.0044
02/28/07;-0.0051;0.0136;-0.0009;0.0104;0.0064;0.0038
03/30/07;0.0371;0.0071;0.0004;0.0094;0.0021;0.0043
04/30/07;0.0554;-0.0021;0.0126;0.0012;0.0029;0.0044
05/31/07;0.0156;-0.0075;0.0056;0.0099;0.0108;0.0041
06/29/07;-0.0016;-0.0049;0.004;0.0227;0.0046;0.004
07/31/07;-0.0222;0.019;-0.0036;0.0133;-0.0052;0.004
08/31/07;-0.0208;-0.0304;-0.0006;0.0065;0.0103;0.0042
09/28/07;0.0482;-0.038;-0.0085;-0.0073;-0.0086;0.0032
10/31/07;0.0434;0.0024;-0.0092;0.0148;-0.0139;0.0032
11/30/07;-0.0403;-0.0447;-0.0176;0.0049;0.0154;0.0034
12/31/07;-0.021;-0.0097;0.0122;-0.0012;0.0055;0.0027
01/31/08;-0.1001;0.0047;-0.0001;-0.0093;0.0158;0.0021
02/29/08;0.0196;0.0263;-0.0051;0.0051;-0.0128;0.0013
03/31/08;0.0026;-0.0061;0.0237;-0.0081;-0.0022;0.0017
04/30/08;0.0441;-0.0261;-0.0001;0.0173;-0.008;0.0018
05/30/08;0.0085;0.0037;-0.0117;0.0041;-0.0086;0.0018
06/30/08;-0.0868;0.0192;-0.007;-0.0002;0.0134;0.0017
07/31/08;-0.0383;-0.0186;0.0095;-0.0074;0.011;0.0015
08/29/08;-0.0457;0.003;-0.0009;0.007;0.0181;0.0013
09/30/08;-0.1507;-0.027;0.0091;-0.0018;0.0543;0.0015
10/31/08;-0.2202;-0.0465;-0.0353;0.0409;0.0458;0.0008
11/28/08;-0.0718;-0.0117;-0.0363;0.0093;0.0317;0.0003
12/31/08;0.067;-0.0148;0.0121;-0.0172;0.036;0
01/30/09;-0.1099;0.0471;-0.0405;0.0137;-0.0187;0
02/27/09;-0.0996;0.0432;-0.0423;0.0334;-0.0041;0.0001
03/31/09;0.0694;-0.0235;0.0146;0.0079;-0.0276;0.0002
04/30/09;0.1367;0.0209;0.0666;-0.0149;-0.0356;0.0001
05/29/09;0.1286;0.0109;-0.0124;0.0135;-0.0267;0
06/30/09;-0.0187;0.0161;-0.0119;0.0029;0.0045;0.0001
07/31/09;0.1018;-0.034;0.0378;0.0019;-0.0026;0.0001
08/31/09;0.0565;0.0264;0.0753;-0.0474;0.0247;0.0001
09/30/09;0.0543;0.0194;0.0113;0.0019;0.0121;0.0001
10/30/09;-0.0185;0.0144;-0.0328;0.0286;-0.0036;0
11/30/09;0.03;-0.0199;-0.0122;0.0294;0.0083;0
12/31/09;0.0094;-0.0188;-0.0124;0.0206;-0.0001;0.0001
01/29/10;-0.0528;0.0468;-0.0187;0.0149;-0.0004;0
02/26/10;-0.021;-0.0083;-0.0179;0.0075;-0.0053;0
03/31/10;0.0641;-0.0071;0.0427;0.0012;-0.0038;0.0001
04/30/10;-0.0166;0.0312;-0.0029;0.0225;-0.0074;0.0001
05/28/10;-0.1205;-0.0055;-0.0359;0.0068;-0.0085;0.0001
06/30/10;-0.0098;-0.0007;-0.0222;-0.0107;-0.0111;0.0001
07/30/10;0.1188;-0.0171;0.0459;-0.0285;0.0097;0.0001
08/31/10;-0.0426;-0.0007;-0.0269;0.0263;-0.0211;0.0001
09/30/10;0.1156;0.0092;-0.0026;-0.005;0.0155;0.0001
10/29/10;0.0498;0.0061;0.0007;0.0139;-0.0032;0.0001
11/30/10;-0.0803;0.0106;-0.0342;0.0175;0.0012;0.0001
12/31/10;0.0904;0.0212;0.0117;-0.0167;0.0117;0.0001
01/31/11;0.0368;-0.0016;0.0547;-0.03;0.0131;0.0001
02/28/11;0.0306;-0.0108;0.007;0.005;0.0006;0.0001
03/31/11;-0.0017;0.0212;-0.0185;0.0196;-0.0035;0.0001
04/29/11;0.0814;-0.0108;-0.0076;0.0106;0.0069;0
05/31/11;-0.0306;0.0021;-0.0225;0.0186;-0.006;0
06/30/11;-0.0205;-0.012;0.0008;0.0105;-0.0069;0
07/29/11;-0.0333;0.0022;-0.0405;0.0224;-0.0048;0
08/31/11;-0.101;0.0087;-0.0379;0.0352;-0.0112;0.0001
09/30/11;-0.1161;-0.0113;-0.0188;0.0227;0.0144;0
10/31/11;0.1097;-0.0337;-0.0123;0.0127;-0.03;0
11/30/11;-0.0484;-0.0252;-0.0336;0.0273;-0.0042;0
12/30/11;-0.022;-0.0098;-0.0107;0.0038;0.0027;0
01/31/12;0.0568;0.0267;0.0106;-0.0208;-0.021;0
02/29/12;0.0641;0.0138;-0.0036;-0.0079;-0.0076;0
03/30/12;0.0002;0.0076;-0.0141;0.01;0.0164;0
04/30/12;-0.0223;0.0125;-0.0419;0.0301;-0.0067;0
05/31/12;-0.1232;0.0031;-0.0257;0.0264;0.0139;0.0001
