,Annualized Return,Annualized Volatility,Max Drawdown
Growth,0.07820048584376948,0.11169202869936626,-13.194743471739171
Large,0.04864393684776669,0.11433632298486389,-18.300885150443513
Momentum,0.08541660269796258,0.11068666652074442,-15.540098427498497
Quality,0.08017948245701612,0.10976045230280793,-12.072803543711345
Small,0.10390920310689289,0.12604389544578545,-19.21564950903426
Value,0.02904025712658198,0.12635256830318584,-24.01367720521306
Market,0.05433287821504029,0.11400615522840922,-17.72673655547401
LowVol,0.06865355787639627,0.0927946479927548,-13.555506189496377
