,Growth,Large,Momemtum,Quality,Small,Value,Market,LowVol
Growth,1.0,0.95***,0.90***,0.96***,0.85***,0.83***,0.95***,0.93***
Large,0.95***,1.0,0.86***,0.91***,0.88***,0.96***,1.00***,0.92***
Momemtum,0.90***,0.86***,1.0,0.87***,0.80***,0.76***,0.86***,0.88***
Quality,0.96***,0.91***,0.87***,1.0,0.82***,0.81***,0.92***,0.92***
Small,0.85***,0.88***,0.80***,0.82***,1.0,0.87***,0.90***,0.84***
Value,0.83***,0.96***,0.76***,0.81***,0.87***,1.0,0.96***,0.86***
Market,0.95***,1.00***,0.86***,0.92***,0.90***,0.96***,1.0,0.92***
LowVol,0.93***,0.92***,0.88***,0.92***,0.84***,0.86***,0.92***,1.0
